chr	start	end	silencer
chr5	70827696	70827896	1
chr12	122766956	122767156	1
chr6	159324935	159325135	1
chr9	26935936	26936136	1
chr15	75434955	75435155	1
chr19	36837896	36838096	1
chr12	88701386	88701586	1
chr6	5499895	5500095	1
chr5	105372166	105372366	1
chr1	9100055	9100255	1
chr20	4182726	4182926	1
chr1	41497915	41498115	1
chr1	109185160	109185360	1
chr12	109284076	109284276	1
chr1	67466616	67466816	1
chr2	141930936	141931136	1
chr21	47252716	47252916	1
chr6	134028756	134028956	1
chr5	163618195	163618395	1
chr6	142285156	142285356	1
chr7	47114516	47114716	1
chr1	225468375	225468575	1
chr1	176716815	176717015	1
chr5	176411756	176411956	1
chr1	247761115	247761315	1
chr21	23272496	23272696	1
chr11	16169176	16169376	1
chr20	47117596	47117796	1
chr11	72696756	72696956	1
chr18	8926415	8926615	1
chr18	22869235	22869435	1
chr1	227401575	227401775	1
chr2	189108136	189108336	1
chr1	180968335	180968535	1
chr16	15156026	15156226	1
